model_output,prediction,true_class
6.039733382,1,1
2.450786864,0,0
2.417882501,0,1
-0.451534602,0,0
1.173396038,0,0
0.056908764,0,1
0.129216529,0,0
-1.312976808,0,0
6.604656119,1,1
1.071713715,0,0
-1.028364729,0,0
2.951878201,0,0
4.051560866,1,0
3.369710625,1,1
0.928707092,0,0
3.542438344,1,1
-0.686708751,0,0
-0.391701495,0,0
0.560531059,0,0
3.312672181,1,1
-0.608494351,0,0
3.405216591,1,1
-0.350666517,0,0
0.326399959,0,0
0.238953807,0,0
-0.143058236,0,0
-0.348886134,0,0
-0.829157562,0,0
-0.861368872,0,0
-0.933999633,0,0
0.251595186,0,0
-2.274550817,0,0
-1.657645683,0,0
1.263750324,0,0
-0.993530273,0,0
1.102941939,0,0
-0.608838727,0,0
3.81862214,1,0
1.528546362,0,1
-3.472672804,0,0
0.771821397,0,0
0.41813562,0,0
4.253179161,1,1
1.857769638,0,1
-0.00778013,0,0
2.352000902,0,0
0.037082101,0,0
-2.382136813,0,0
-1.56476567,0,0
-0.983117025,0,0
-0.269084347,0,0
-0.447316758,0,0
-0.709677225,0,0
0.528832676,0,0
0.633664007,0,0
0.993828162,0,0
4.294905313,1,1
4.189485182,1,1
-0.082917826,0,0
0.662965464,0,0
0.812093314,0,0
1.092823672,0,0
-0.63493106,0,0
1.319843133,0,0
0.617541097,0,0
-0.537011142,0,0
1.008399155,0,0
0.944498152,0,1
0.309766463,0,0
1.096659417,0,0
-0.834534914,0,0
-1.201292862,0,0
-0.825166066,0,0
5.318906362,1,1
1.420784073,0,1
-2.141560042,0,0
-3.089029384,0,0
-2.933094715,0,0
0.346510517,0,1
0.17460078,0,0
1.083608998,0,0
2.905775102,0,1
0.546765738,0,0
0.216818657,0,0
-1.009694311,0,0
-0.759458333,0,0
2.142874349,0,0
0.79312881,0,0
0.956908329,0,0
2.124657982,0,0
1.878888904,0,1
-2.774123649,0,0
0.053593437,0,0
0.080556652,0,0
-0.276928039,0,0
-1.167080339,0,0
-0.414396756,0,0
0.965784695,0,0
1.001081164,0,0
2.439740851,0,0
1.925377362,0,1
2.464155756,0,1
1.166019976,0,1
-2.921087143,0,0
-3.322081774,0,0
2.631165281,0,0
3.8826559,1,1
5.865203929,1,1
-1.797156037,0,0
2.124828457,0,0
-0.519114266,0,0
1.342714165,0,0
2.739815591,0,0
-4.98684207,0,0
1.202208709,0,0
0.918204858,0,1
1.039269009,0,0
3.353517534,1,1
-0.03742891,0,0
-2.492806237,0,0
-3.149309038,0,0
2.282793884,0,0
-3.507231593,0,0
4.53980573,1,1
-0.563682411,0,0
-0.235210348,0,0
3.995662563,1,0
-1.317000434,0,0
-0.523912422,0,0
2.28928864,0,0
0.408472929,0,0
1.11781511,0,0
1.252936182,0,0
0.325639825,0,0
0.09872652,0,0
1.264735551,0,0
1.781401327,0,0
0.817925493,0,1
6.437009879,1,1
-0.180058808,0,0
-0.585127005,0,0
0.797696343,0,0
5.849682861,1,1
-2.463740161,0,0
1.113674514,0,0
-0.825328034,0,0
0.853957448,0,0
-0.438467383,0,0
1.961882318,0,1
2.662652382,0,1
1.814154607,0,1
2.532709205,0,0
-2.233592461,0,0
-0.64938461,0,0
0.947624386,0,0
-2.32556763,0,0
4.418779559,1,1
1.065559669,0,0
-1.697041227,0,0
0.745526041,0,0
2.450445769,0,0
-1.670793497,0,0
-0.206662313,0,0
-3.325756874,0,0
5.044426606,1,1
-1.127018249,0,0
3.188472732,1,1
1.857035788,0,0
1.823366806,0,1
0.818359764,0,0
-0.342472701,0,0
-0.64262423,0,0
1.493037494,0,0
0.295451537,0,1
3.110377287,1,1
0.804608464,0,0
3.921595428,1,1
4.424730323,1,1
-2.896670905,0,0
0.845906167,0,0
5.354130217,1,1
-1.16952763,0,0
2.012136956,0,1
-1.738982945,0,0
-1.854742181,0,0
1.361465513,0,0
-0.759208137,0,0
-0.054368837,0,0
4.611985377,1,1
-0.859780268,0,0
1.026718187,0,0
0.857189324,0,0
-3.393596254,0,0
-1.152295415,0,0
2.554540024,0,0
-1.43832966,0,0
4.286592908,1,1
0.136158531,0,0
1.470939238,0,1
4.831133747,1,1
