true_label,keras_prob,keras_pred,tflite_prob,tflite_pred,raw_tflite_output_int8
Shoe,0.6163018941879272,Shoe,0.6484375,Shoe,38
Shoe,0.9999871850013733,Shoe,0.99609375,Shoe,127
NoShoe,0.015404606238007545,NoShoe,0.015625,NoShoe,-124
NoShoe,0.0837520956993103,NoShoe,0.08984375,NoShoe,-105
NoShoe,0.1066722571849823,NoShoe,0.1171875,NoShoe,-98
Shoe,0.5919045805931091,Shoe,0.62890625,Shoe,33
NoShoe,0.0007312499801628292,NoShoe,0.0,NoShoe,-128
Shoe,0.9829519987106323,Shoe,0.984375,Shoe,124
Shoe,0.9805366396903992,Shoe,0.984375,Shoe,124
Shoe,0.9871644973754883,Shoe,0.984375,Shoe,124
